Rank,State
1,Vermont 
1,Vermont 
2,Massachusetts 
2,Massachusetts 
3,Maine 
3,Maine 
4,Wisconsin 
4,District of Columbia 
5,Minnesota 
5,Delaware 
6,Minnesota 
6,New Hampshire 
7,Wisconsin 
7,Rhode Island 
8,Rhode Island 
8,Pennsylvania 
9,Ohio 
9,Connecticut 
10,New Hampshire 
10,District of Columbia 
11,Maryland 
11,Washington 
12,Pennsylvania 
12,Montana 
13,Connecticut 
13,Illinois 
14,Hawaii 
14,Maryland 
15,Iowa 
15,New York 
16,Washington 
16,Kentucky 
17,Michigan 
17,Delaware 
18,Kentucky 
18,Iowa 
19,Oregon 
19,Montana 
20,New Mexico 
20,New York 
21,Colorado 
21,Oregon 
22,Ohio 
22,South Dakota 
23,South Dakota 
23,New Jersey 
24,New Jersey 
24,North Dakota 
25,Michigan 
25,New Mexico 
26,Utah 
26,Indiana 
27,North Dakota 
27,Louisiana 
28,Oklahoma 
28,Illinois 
29,West Virginia 
29,Nebraska 
30,California 
30,West Virginia 
31,Hawaii 
31,Colorado 
32,Indiana 
32,Utah 
33,Nebraska 
33,Oklahoma 
34,Alaska 
34,California 
35,Louisiana 
35,Idaho 
36,Wyoming 
36,Kansas 
37,Virginia 
37,Alaska 
38,Wyoming 
38,North Carolina 
39,Virginia 
39,Nevada 
40,Arizona 
40,Arkansas 
41,Missouri 
41,Missouri 
42,Arkansas 
42,Idaho 
43,Tennessee 
43,South Carolina 
44,North Carolina 
44,Kansas 
45,South Carolina 
45,Tennessee 
46,Nevada 
46,Arizona 
47,Alabama 
47,Mississippi 
48,Florida 
48,Georgia 
49,Mississippi 
49,Florida 
50,Texas 
50,Alabama 
51,Texas 
51,Georgia 
