"State " Rank
Minnesota 1
Maine 2
Massachusetts 3
"New Jersey" 4
Vermont 5
Connecticut 6
Iowa 7
"North Dakota" 8
Hawaii 9
"New Hampshire" 10
Illinois 11
"New York" 12
Maryland 13
Pennsylvania 14
Michigan 15
Delaware 16
"Rhode Island" 17
"South Dakota" 18
Ohio 19
Wisconsin 20
Georgia 21
"District of Columbia" 22
Nebraska 23
Kansas 24
California 25
Kentucky 26
Oklahoma 27
"North Carolina" 28
Colorado 29
Missouri 30
"New Mexico" 31
Florida 32
Virginia 33
Washington 34
"West Virginia" 35
Alabama 36
Arkansas 37
Louisiana 38
Arizona 39
Montana 40
"South Carolina" 41
Indiana 42
Texas 43
Utah 44
Tennessee 45
Wyoming 46
Alaska 47
Mississippi 48
Oregon 49
Idaho 50
Nevada 51
