"Incident_ID","Reliability","Date","Quarter","Full_Location","School","City","State","School_Level","Location","Location_Type","During_School","Time_Period","Situation","Bullied","Domestic_Violence","Gang_Related","Preplanned","Shots_Fired","lon","lat"
"20200714MIWID","3",2020-07-14,"Summer","Willow Woods Elementary School Detroit MI","Willow Woods Elementary School","Detroit","MI","Elementary","Parking Lot","Outside on School Property","No","Not a School Day","Escalation of Dispute","No","No","No","No",NA,-83.0192621,42.5564275
"20200704INLAM","4",2020-07-04,"Summer","Lake Hills Elementary School Michigan City IN","Lake Hills Elementary School","Michigan City","IN","Elementary","Parking Lot","Outside on School Property","No","Night","Illegal Activity","No","No","No","No",NA,-86.8865965,41.7286975
"20200527OHLUC","3",2020-05-27,"Spring","Luis Munoz Marin Middle School Cleveland OH","Luis Munoz Marin Middle School","Cleveland","OH","Middle","Parking Lot","Outside on School Property","No","Night","Illegal Activity","No","No","No","No",NA,-81.6947889,41.4710147
"20200525ALORM","3",2020-05-25,"Spring","O Rourke Elementary School Mobile AL","O Rourke Elementary School","Mobile","AL","Elementary","Parking Lot","Outside on School Property","No","Night","Illegal Activity","No","No","No","No",NA,-88.2318878,30.6510925
"20200519VAWEM","3",2020-05-19,"Spring","West Gate Elementary School Manassas VA","West Gate Elementary School","Manassas","VA","Elementary","Beside Building","Outside on School Property","No","Not a School Day","Escalation of Dispute","No","No","No","No","<10",-77.497352,38.7806066
"20200413NEMOO","3",2020-04-13,"Spring","Morton Middle School Omaha NE","Morton Middle School","Omaha","NE","Middle","Parking Lot","Outside on School Property","No","Not a School Day","Escalation of Dispute","No","No","No","No",NA,-96.0687688,41.3000821
"20200330GANAS","4",2020-03-30,"Spring","Narvie J. Harris Elementary School Stonecrest GA","Narvie J. Harris Elementary School","Stonecrest","GA","Elementary","Parking Lot","Outside on School Property","No","Night","Escalation of Dispute","No","No","No","No",NA,-84.2263063,33.6667502
"20200318LABOS","4",2020-03-18,"Spring","Booker T. Washington High School Shreveport LA","Booker T. Washington High School","Shreveport","LA","High","Parking Lot","Outside on School Property","No","Night","Escalation of Dispute","No","No","No","No","1",-93.774143,32.5040265
"20200315TXATH","4",2020-03-15,"Spring","Atascocita High School Humble TX","Atascocita High School","Humble","TX","High","Football Field/Track","Outside on School Property","No","Not a School Day","Escalation of Dispute","No","No","No","No","<10",-95.1714718,29.9794915
"20200310PASHN","5",2020-03-10,"Spring","Shenango Area Schools (bus) New Castle PA","Shenango Area Schools (bus)","New Castle","PA","Elementary","School Bus","School Bus","Yes","School Start","Indiscriminate Shooting","No","No","No","No","1",-80.3118691,40.9674868
