"","Incident_ID","Reliability","Date","Quarter","Full_Location","School","City","State","School_Level","Location","Location_Type","During_School","Time_Period","Situation","Bullied","Domestic_Violence","Gang_Related","Preplanned","Shots_Fired","lon","lat"
"1","20200704INLAM","4",2020-07-04,"Summer","Lake Hills Elementary School Michigan City IN","Lake Hills Elementary School","Michigan City","IN","Elementary","Parking Lot","Outside on School Property","No","Night","Illegal Activity","No","No","No","No",NA,-86.8865965,41.7286975
"2","20200621INCOC","4",2020-06-21,"Summer","Columbus East High School Columbus IN","Columbus East High School","Columbus","IN","High","Beside Building","Outside on School Property","No","Night","Intentional Property Damage","No","No","No","No",NA,-85.8861404,39.1950999
"3","20200527OHLUC","3",2020-05-27,"Spring","Luis Munoz Marin Middle School Cleveland OH","Luis Munoz Marin Middle School","Cleveland","OH","Middle","Parking Lot","Outside on School Property","No","Night","Illegal Activity","No","No","No","No",NA,-81.6947889,41.4710147
"4","20200525ALORM","3",2020-05-25,"Spring","O Rourke Elementary School Mobile AL","O Rourke Elementary School","Mobile","AL","Elementary","Parking Lot","Outside on School Property","No","Night","Illegal Activity","No","No","No","No",NA,-88.2318878,30.6510925
"5","20200310PASHN","5",2020-03-10,"Spring","Shenango Area Schools (bus) New Castle PA","Shenango Area Schools (bus)","New Castle","PA","Elementary","School Bus","School Bus","Yes","School Start","Indiscriminate Shooting","No","No","No","No","1",-80.3118691,40.9674868
"6","20200201TXHIH","3",2020-02-01,"Winter","Hicks Elementary School Houston TX","Hicks Elementary School","Houston","TX","Elementary","Outside on School Property","Outside on School Property","No","Not a School Day","Illegal Activity","No","No","No","No","1",-95.626664,29.6872352
"7","20200128TNWHM","4",2020-01-28,"Winter","White Station High School Memphis TN","White Station High School","Memphis","TN","High","Parking Lot","Outside on School Property","No","Evening","Drive-by Shooting","No","No","No","No","5",-89.9059258,35.1188658
"8","20200121NEPAL","4",2020-01-21,"Winter","Park Middle School Lincoln NE","Park Middle School","Lincoln","NE","Middle","Parking Lot","Outside on School Property","No","Evening","Intentional Property Damage","No","No","No","No",NA,-96.7115406,40.8053208
"9","20200121ILLIC","3",2020-01-21,"Winter","Lindblom Math & Science Academy High School Chicago IL","Lindblom Math & Science Academy High School","Chicago","IL","High","Front of School","Outside on School Property","No","Sport Event","Illegal Activity","No","No","No","No",NA,-87.6718901,41.7820798
"10","20200110MSMCJ","4",2020-01-10,"Winter","McWillie Elementary School Jackson MS","McWillie Elementary School","Jackson","MS","Middle","School Bus","School Bus","Yes","School Start","Unknown","No","No","No","No",NA,-90.1535179,32.363361
"11","20200107WASOK","4",2020-01-07,"Winter","Southridge High School Kennewick WA","Southridge High School","Kennewick","WA","High","Beside Building","Outside on School Property","No","Night","Intentional Property Damage","No","No","No","No",NA,-119.1948792,46.1793085
"12","20191211KSCHT","3",2019-12-11,"Winter","Chase Middle School Topeka KS","Chase Middle School","Topeka","KS","Middle","School Bus","School Bus","Yes","Dismissal","Unknown","No","No","No","No","<10",-95.6418863,39.061307
"13","20191211INEVE","3",2019-12-11,"Winter","Evans Elementary School Evansville IN","Evans Elementary School","Evansville","IN","Elementary","School Bus","School Bus","No","After School","Unknown","No","No","No","No",NA,-87.5497123,38.0058809
