,fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,pH,sulphates,alcohol,quality
0,7.0,0.27,0.36,0.045,45.0,3.0,0.45,8.8,6
1,6.3,0.3,0.34,0.049,14.0,3.3,0.49,9.5,6
2,8.1,0.28,0.4,0.05,30.0,3.26,0.44,10.1,6
3,7.2,0.23,0.32,0.057999999999999996,47.0,3.19,0.4,9.9,6
4,7.2,0.23,0.32,0.057999999999999996,47.0,3.19,0.4,9.9,6
5,8.1,0.28,0.4,0.05,30.0,3.26,0.44,10.1,6
6,6.2,0.32,0.16,0.045,30.0,3.18,0.47,9.6,6
7,7.0,0.27,0.36,0.045,45.0,3.0,0.45,8.8,6
8,6.3,0.3,0.34,0.049,14.0,3.3,0.49,9.5,6
9,8.1,0.22,0.43,0.044000000000000004,28.0,3.22,0.45,11.0,6
10,8.1,0.27,0.41,0.033,11.0,2.99,0.56,12.0,5
11,8.6,0.23,0.4,0.035,17.0,3.14,0.53,9.7,5
12,7.9,0.18,0.37,0.04,16.0,3.18,0.63,10.8,5
13,6.6,0.16,0.4,0.044000000000000004,48.0,3.54,0.52,12.4,7
14,8.3,0.42,0.62,0.04,41.0,2.98,0.67,9.7,5
15,6.6,0.17,0.38,0.032,28.0,3.25,0.55,11.4,7
16,6.3,0.48,0.04,0.046,30.0,3.24,0.36,9.6,6
17,6.2,0.66,0.48,0.028999999999999998,29.0,3.33,0.39,12.8,8
18,7.4,0.34,0.42,0.033,17.0,3.12,0.53,11.3,6
19,6.5,0.31,0.14,0.044000000000000004,34.0,3.22,0.5,9.5,5
20,6.2,0.66,0.48,0.028999999999999998,29.0,3.33,0.39,12.8,8
21,6.4,0.31,0.38,0.038,19.0,3.17,0.35,11.0,7
22,6.8,0.26,0.42,0.049,41.0,3.47,0.48,10.5,8
23,7.6,0.67,0.14,0.07400000000000001,25.0,3.05,0.51,9.3,5
24,6.6,0.27,0.41,0.052000000000000005,16.0,3.42,0.47,10.0,6
25,7.0,0.25,0.32,0.046,56.0,3.25,0.5,10.4,6
26,6.9,0.24,0.35,0.052000000000000005,35.0,3.45,0.44,10.0,6
27,7.0,0.28,0.39,0.051,32.0,3.38,0.53,10.5,6
28,7.4,0.27,0.48,0.047,17.0,3.19,0.49,11.6,6
29,7.2,0.32,0.36,0.033,37.0,3.1,0.71,12.3,7
30,8.5,0.24,0.39,0.044000000000000004,20.0,3.2,0.53,10.0,6
31,8.3,0.14,0.34,0.042,7.0,3.47,0.4,10.2,6
32,7.4,0.25,0.36,0.05,31.0,3.19,0.44,10.8,6
33,6.2,0.12,0.34,0.045,43.0,3.42,0.51,9.0,6
34,5.8,0.27,0.2,0.044000000000000004,22.0,3.37,0.37,10.2,5
35,7.3,0.28,0.43,0.08,21.0,3.19,0.42,12.8,5
36,6.5,0.39,0.23,0.051,25.0,3.24,0.35,10.0,5
37,7.0,0.33,0.32,0.053,38.0,3.13,0.28,11.2,6
38,7.3,0.24,0.39,0.057,45.0,3.21,0.36,8.6,5
39,7.3,0.24,0.39,0.057,45.0,3.21,0.36,8.6,5
40,6.7,0.23,0.39,0.172,63.0,3.11,0.36,9.4,6
41,6.7,0.24,0.39,0.17300000000000001,63.0,3.1,0.34,9.4,6
42,7.0,0.31,0.26,0.069,28.0,3.13,0.46,9.8,6
43,6.6,0.24,0.27,0.057,33.0,3.22,0.56,9.5,6
44,6.7,0.23,0.26,0.06,33.0,3.24,0.56,9.5,6
45,7.4,0.18,0.31,0.057999999999999996,38.0,3.16,0.53,10.0,7
46,6.2,0.45,0.26,0.063,63.0,3.27,0.52,9.8,4
47,6.2,0.46,0.25,0.066,62.0,3.25,0.52,9.8,5
48,7.0,0.31,0.26,0.069,28.0,3.13,0.46,9.8,6
49,6.9,0.19,0.35,0.067,32.0,3.36,0.48,9.8,5
50,7.2,0.19,0.31,0.062,31.0,3.35,0.44,11.7,6
51,6.6,0.25,0.29,0.068,39.0,3.34,0.58,11.0,7
52,6.2,0.16,0.33,0.057,21.0,3.32,0.46,10.9,7
53,6.4,0.18,0.35,0.045,39.0,3.31,0.35,10.9,6
54,6.8,0.2,0.59,0.147,38.0,3.05,0.38,9.1,6
55,6.9,0.25,0.35,0.039,29.0,3.13,0.52,11.0,6
56,7.2,0.21,0.34,0.043,37.0,3.09,0.5,9.6,6
57,6.0,0.19,0.26,0.048,50.0,3.3,0.36,8.9,6
58,6.6,0.38,0.15,0.044000000000000004,25.0,3.11,0.38,10.2,6
59,7.4,0.2,0.36,0.038,44.0,3.36,0.34,9.9,6
60,6.8,0.22,0.24,0.092,30.0,3.03,0.46,8.6,6
61,6.0,0.19,0.26,0.048,50.0,3.3,0.36,8.9,6
62,7.0,0.47,0.07,0.035,17.0,3.02,0.34,10.5,5
63,6.6,0.38,0.15,0.044000000000000004,25.0,3.11,0.38,10.2,6
64,7.2,0.24,0.27,0.038,31.0,3.15,0.46,10.3,6
65,6.2,0.35,0.03,0.064,29.0,3.22,0.54,9.1,5
66,6.4,0.26,0.24,0.04,27.0,3.22,0.49,12.6,7
67,6.7,0.25,0.13,0.040999999999999995,81.0,3.14,0.42,9.8,5
68,6.7,0.23,0.31,0.046,30.0,3.33,0.64,10.7,8
69,7.4,0.24,0.29,0.05,21.0,3.13,0.35,9.5,5
70,6.2,0.27,0.43,0.055999999999999994,48.0,3.1,0.51,9.0,6
71,6.8,0.3,0.23,0.061,50.5,3.32,0.6,9.5,5
72,6.0,0.27,0.28,0.063,31.0,3.69,0.71,10.0,5
73,8.6,0.23,0.46,0.054000000000000006,9.0,2.95,0.49,9.1,6
74,6.7,0.23,0.31,0.046,30.0,3.33,0.64,10.7,8
75,7.4,0.24,0.29,0.05,21.0,3.13,0.35,9.5,5
76,7.1,0.18,0.36,0.043,31.0,3.26,0.37,12.7,7
77,7.0,0.32,0.34,0.042,20.0,3.31,0.65,12.0,7
78,7.4,0.18,0.3,0.064,26.0,2.94,0.56,9.3,5
79,6.7,0.54,0.28,0.06,21.0,3.27,0.37,9.0,5
80,6.8,0.22,0.31,0.053,34.0,3.39,0.77,10.6,6
81,7.1,0.2,0.34,0.05,51.0,3.21,0.6,9.2,6
82,7.1,0.34,0.2,0.063,47.0,3.17,0.42,10.0,5
83,7.3,0.22,0.3,0.047,42.0,3.33,0.46,9.5,6
84,7.1,0.43,0.61,0.045,54.0,3.11,0.45,8.7,5
85,7.1,0.44,0.62,0.044000000000000004,52.0,3.12,0.46,8.7,6
86,7.2,0.39,0.63,0.044000000000000004,55.0,3.09,0.44,8.7,6
87,6.8,0.25,0.31,0.05,69.0,3.22,0.48,9.7,6
88,7.1,0.43,0.61,0.045,54.0,3.11,0.45,8.7,5
89,7.1,0.44,0.62,0.044000000000000004,52.0,3.12,0.46,8.7,6
90,7.2,0.39,0.63,0.044000000000000004,55.0,3.09,0.44,8.7,6
91,6.1,0.27,0.43,0.049,65.0,3.12,0.47,9.0,5
92,6.9,0.24,0.33,0.035,47.0,3.26,0.4,12.6,7
93,6.9,0.21,0.33,0.034,48.0,3.25,0.41,12.6,7
94,7.5,0.17,0.32,0.04,51.0,3.21,0.44,11.5,7
95,7.1,0.26,0.29,0.044000000000000004,62.0,3.04,0.42,9.2,6
96,6.0,0.34,0.66,0.046,26.0,3.14,0.5,8.8,6
97,8.6,0.265,0.36,0.034,15.0,2.95,0.36,11.4,7
98,9.8,0.36,0.46,0.038,4.0,2.89,0.3,10.1,4
99,6.0,0.34,0.66,0.046,26.0,3.14,0.5,8.8,6
